study,fold,feature,raw_predictive_drop,predictive_utility,raw_shap_mean_abs,raw_shap_cv,shap_stability,evidence_relevance,clinical_utility,label_derived_risk,definitional_overlap,target_proxy_strength,semantic_risk_max,available_at_prediction,interpretation,leakage_risk,theta_l_mean,audit_score,pre_score,uncertainty_width,pseul_category,semantic_veto,admissible_for_selection,select_score,selection_order,selected,rejection_reason
brfss,1,bmi,0.0,0.0,0.022352483722193114,0.34811085773548683,0.5,0.95,0.8833333333333333,0.05,0.1,0.25,0.25,True,BMI is a core actionable diabetes risk factor.,0.1424821038312379,0.5779755964043233,0.5583333333333333,0.5512530038136992,8.870917662669131e-05,Clinically Actionable Feature,False,True,0.5512530038136992,1.0,True,
brfss,1,age,0.0,0.0,0.04936088708786674,0.32177748368214293,0.678222516317857,0.9,0.7333333333333333,0.0,0.0,0.05,0.05,True,Age is a stable diabetes risk factor.,0.06672296676453722,0.5779755964043233,0.5439778365969048,0.5407221798507656,1.9975394269454237e-05,Clinically Actionable Feature,False,True,0.5395679641784473,2.0,True,
brfss,1,hypertension,0.0,0.0,0.0,0.0,0.5,0.8,0.8333333333333334,0.05,0.1,0.25,0.25,True,Cardiometabolic comorbidity.,0.10000000000000002,0.5779755964043233,0.5083333333333334,0.5040998467594507,1.8582904937450918e-05,Clinically Actionable Feature,False,True,0.5040998467594507,3.0,True,
brfss,1,exercise_any,0.0,0.0,0.0013252738587083608,0.35848345742175114,0.5,0.7,0.7999999999999999,0.0,0.0,0.05,0.05,True,Physical activity is actionable.,0.04986576258182532,0.5779755964043233,0.475,0.47259593776595143,1.6103392923278398e-05,Clinically Actionable Feature,False,True,0.45951232401927444,4.0,True,
brfss,1,high_cholesterol,0.0,0.0,0.0,0.0,0.5,0.7,0.75,0.05,0.1,0.25,0.25,True,Metabolic risk marker.,0.10000000000000002,0.5779755964043233,0.4625,0.4586482212319593,1.6907397115229852e-05,Clinically Actionable Feature,False,True,0.4586482212319593,5.0,True,
brfss,1,kidney_disease,0.0,0.0,0.0038064167416467748,0.5805688055983131,0.5,0.65,0.7000000000000001,0.05,0.1,0.25,0.25,True,Diabetes-related comorbidity risk.,0.14608839361838385,0.5779755964043233,0.4375,0.43175061267945275,9.926354903616838e-05,Domain-Supportive Feature,False,True,0.4171457707557113,6.0,True,
brfss,1,general_health,7.401486830834377e-18,5.828821263112718e-17,0.02718546303106983,0.47844793778920813,0.5,0.7,0.7000000000000001,0.05,0.1,0.25,0.25,True,Self-rated general health.,0.16291838739799894,0.5779755964043233,0.45000000000000007,0.4430194347322797,0.00010504836692633692,Clinically Actionable Feature,False,True,0.415064551290121,7.0,True,
brfss,1,heart_attack,0.0,0.0,0.0008124613294392221,0.8894615108826517,0.5,0.6,0.6666666666666666,0.05,0.1,0.25,0.25,True,Cardiovascular comorbidity.,0.13792359484360223,0.5779755964043233,0.41666666666666663,0.41161412644375056,0.00014643862525797586,Domain-Supportive Feature,False,True,0.39439787871056026,8.0,True,
brfss,1,heart_disease,0.0,0.0,0.0006057890266465432,0.7254483444440244,0.5,0.6,0.6666666666666666,0.05,0.1,0.25,0.25,True,Cardiovascular comorbidity.,0.13617692912457346,0.5779755964043233,0.41666666666666663,0.4117021497205573,1.2622908066876505e-05,Domain-Supportive Feature,False,True,0.3702135045793247,,False,not-in-final-subset
brfss,1,current_smoker,0.0,0.0,0.001158532290049671,0.7477703056711184,0.5,0.45,0.6833333333333332,0.0,0.0,0.05,0.05,True,Lifestyle risk factor.,0.01506464044703241,0.5779755964043233,0.3833333333333333,0.3819614071974046,5.2339308626783865e-06,Low-Value Feature,False,True,0.36747460187839714,,False,not-in-final-subset
