study,fold,method,features,n_features,avg_leakage_risk,avg_clinical_utility,designated_traps_selected,designated_trap_fraction,prediction_unavailable_selected
brfss,3,LightGBM Gain,"[""bmi"", ""age"", ""physical_health_days"", ""general_health"", ""diabetes_age"", ""sex_male"", ""kidney_disease"", ""mental_health_days""]",8,0.17737608481890768,0.6729166666666667,1,0.25,0
brfss,3,Permutation Importance,"[""diabetes_age_observed"", ""sex_male"", ""insulin_use_observed"", ""diabetes_age"", ""insulin_use"", ""current_smoker"", ""kidney_disease"", ""heart_disease""]",8,0.4592929359689353,0.6645833333333333,4,1.0,0
brfss,3,SHAP Ranking,"[""diabetes_age_observed"", ""diabetes_age"", ""age"", ""insulin_use_observed"", ""general_health"", ""bmi"", ""checkup_recent"", ""physical_health_days""]",8,0.40397886511545944,0.6791666666666667,3,0.75,0
brfss,3,Availability Gate + SHAP,"[""diabetes_age_observed"", ""diabetes_age"", ""age"", ""insulin_use_observed"", ""general_health"", ""bmi"", ""checkup_recent"", ""physical_health_days""]",8,0.40397886511545944,0.6791666666666667,3,0.75,0
brfss,3,Semantic Veto + SHAP,"[""age"", ""general_health"", ""bmi"", ""checkup_recent"", ""physical_health_days"", ""sex_male"", ""kidney_disease"", ""exercise_any""]",8,0.10736360653803023,0.6937500000000001,0,0.0,0
brfss,3,PSEUL-Select,"[""bmi"", ""age"", ""hypertension"", ""exercise_any"", ""high_cholesterol"", ""kidney_disease"", ""general_health"", ""heart_attack""]",8,0.11386611481824349,0.7583333333333333,0,0.0,0
brfss,3,PSEUL-Audit,"[""diabetes_age_observed"", ""diabetes_age"", ""bmi"", ""insulin_use"", ""age"", ""hypertension"", ""insulin_use_observed"", ""exercise_any""]",8,0.46460597231288736,0.7458333333333333,4,1.0,0
brfss,3,PSEUL-Auto (leakage metadata null),"[""diabetes_age_observed"", ""diabetes_age"", ""bmi"", ""hypertension"", ""insulin_use"", ""age"", ""high_cholesterol"", ""exercise_any""]",8,0.36969559431049703,0.7583333333333333,3,0.75,0
brfss,3,Oracle Trap Exclusion + SHAP,"[""age"", ""general_health"", ""bmi"", ""checkup_recent"", ""sex_male"", ""exercise_any"", ""kidney_disease"", ""heart_attack""]",8,0.10816921755786954,0.7020833333333334,0,0.0,0
brfss,4,All Features,"[""age"", ""sex_male"", ""bmi"", ""general_health"", ""physical_health_days"", ""mental_health_days"", ""checkup_recent"", ""exercise_any"", ""hypertension"", ""high_cholesterol"", ""heart_attack"", ""heart_disease"", ""kidney_disease"", ""current_smoker"", ""insulin_use"", ""diabetes_age"", ""insulin_use_observed"", ""diabetes_age_observed""]",18,0.2622501992233176,0.6916666666666667,4,1.0,0
brfss,4,Mutual Information,"[""diabetes_age_observed"", ""diabetes_age"", ""insulin_use_observed"", ""general_health"", ""age"", ""exercise_any"", ""checkup_recent"", ""insulin_use""]",8,0.47129545182608634,0.6916666666666667,4,1.0,0
brfss,4,LightGBM Gain,"[""bmi"", ""age"", ""general_health"", ""kidney_disease"", ""diabetes_age"", ""physical_health_days"", ""insulin_use_observed"", ""checkup_recent""]",8,0.29637544928818715,0.6854166666666667,2,0.5,0
brfss,4,Permutation Importance,"[""diabetes_age_observed"", ""heart_attack"", ""checkup_recent"", ""insulin_use_observed"", ""diabetes_age"", ""insulin_use"", ""current_smoker"", ""kidney_disease""]",8,0.47369098551433775,0.66875,4,1.0,0
brfss,4,SHAP Ranking,"[""diabetes_age_observed"", ""diabetes_age"", ""age"", ""general_health"", ""insulin_use_observed"", ""bmi"", ""checkup_recent"", ""physical_health_days""]",8,0.4031913004241514,0.6791666666666667,3,0.75,0
brfss,4,Availability Gate + SHAP,"[""diabetes_age_observed"", ""diabetes_age"", ""age"", ""general_health"", ""insulin_use_observed"", ""bmi"", ""checkup_recent"", ""physical_health_days""]",8,0.4031913004241514,0.6791666666666667,3,0.75,0
brfss,4,Semantic Veto + SHAP,"[""age"", ""general_health"", ""bmi"", ""checkup_recent"", ""physical_health_days"", ""kidney_disease"", ""sex_male"", ""mental_health_days""]",8,0.10309130837176038,0.6666666666666667,0,0.0,0
