study,fold,method,features,n_features,avg_leakage_risk,avg_clinical_utility,designated_traps_selected,designated_trap_fraction,prediction_unavailable_selected
nhanes,3,LightGBM Gain,"[""age"", ""income_ratio"", ""sedentary_minutes"", ""total_cholesterol"", ""hba1c"", ""waist"", ""diastolic_bp"", ""bmi""]",8,0.18896893866334533,0.7333333333333334,1,0.5,0
nhanes,3,Permutation Importance,"[""hba1c"", ""fasting_glucose"", ""age"", ""prediabetes_told"", ""total_cholesterol"", ""sedentary_minutes"", ""diastolic_bp"", ""bmi""]",8,0.3107627549617375,0.7625,2,1.0,0
nhanes,3,SHAP Ranking,"[""hba1c"", ""age"", ""fasting_glucose"", ""prediabetes_told"", ""total_cholesterol"", ""waist"", ""diastolic_bp"", ""bmi""]",8,0.3232913515404471,0.775,2,1.0,0
nhanes,3,Availability Gate + SHAP,"[""hba1c"", ""age"", ""fasting_glucose"", ""prediabetes_told"", ""total_cholesterol"", ""waist"", ""diastolic_bp"", ""bmi""]",8,0.3232913515404471,0.775,2,1.0,0
nhanes,3,Semantic Veto + SHAP,"[""age"", ""prediabetes_told"", ""total_cholesterol"", ""waist"", ""diastolic_bp"", ""bmi"", ""hdl_cholesterol"", ""systolic_bp""]",8,0.11859869460690844,0.7395833333333333,0,0.0,0
nhanes,3,PSEUL-Select,"[""age"", ""bmi"", ""prediabetes_told"", ""waist"", ""sedentary_minutes"", ""total_cholesterol"", ""diastolic_bp"", ""weight""]",8,0.11277006175502055,0.7520833333333333,0,0.0,0
nhanes,3,PSEUL-Audit,"[""hba1c"", ""fasting_glucose"", ""age"", ""bmi"", ""prediabetes_told"", ""waist"", ""weight"", ""sedentary_minutes""]",8,0.32347888767551236,0.79375,2,1.0,0
nhanes,3,PSEUL-Auto (leakage metadata null),"[""hba1c"", ""fasting_glucose"", ""prediabetes_told"", ""age"", ""bmi"", ""waist"", ""sedentary_minutes"", ""total_cholesterol""]",8,0.3238714334460603,0.7791666666666668,2,1.0,0
nhanes,3,Oracle Trap Exclusion + SHAP,"[""age"", ""waist"", ""total_cholesterol"", ""prediabetes_told"", ""systolic_bp"", ""bmi"", ""education"", ""hdl_cholesterol""]",8,0.12441601906977681,0.7166666666666667,0,0.0,0
nhanes,4,All Features,"[""age"", ""sex_male"", ""race_ethnicity"", ""education"", ""income_ratio"", ""bmi"", ""waist"", ""weight"", ""systolic_bp"", ""diastolic_bp"", ""total_cholesterol"", ""hdl_cholesterol"", ""sedentary_minutes"", ""ever_smoked"", ""prediabetes_told"", ""hba1c"", ""fasting_glucose""]",17,0.17980313050766483,0.7009803921568628,2,1.0,0
nhanes,4,Mutual Information,"[""hba1c"", ""fasting_glucose"", ""age"", ""waist"", ""bmi"", ""education"", ""total_cholesterol"", ""diastolic_bp""]",8,0.29453707674122614,0.7395833333333334,2,1.0,0
nhanes,4,LightGBM Gain,"[""income_ratio"", ""age"", ""sedentary_minutes"", ""total_cholesterol"", ""diastolic_bp"", ""hba1c"", ""systolic_bp"", ""waist""]",8,0.18184384607652168,0.7145833333333333,1,0.5,0
nhanes,4,Permutation Importance,"[""hba1c"", ""fasting_glucose"", ""prediabetes_told"", ""age"", ""total_cholesterol"", ""waist"", ""sedentary_minutes"", ""education""]",8,0.3160345470090016,0.7333333333333334,2,1.0,0
nhanes,4,SHAP Ranking,"[""hba1c"", ""fasting_glucose"", ""age"", ""prediabetes_told"", ""total_cholesterol"", ""waist"", ""diastolic_bp"", ""bmi""]",8,0.32218135029661876,0.775,2,1.0,0
nhanes,4,Availability Gate + SHAP,"[""hba1c"", ""fasting_glucose"", ""age"", ""prediabetes_told"", ""total_cholesterol"", ""waist"", ""diastolic_bp"", ""bmi""]",8,0.32218135029661876,0.775,2,1.0,0
nhanes,4,Semantic Veto + SHAP,"[""age"", ""prediabetes_told"", ""total_cholesterol"", ""waist"", ""diastolic_bp"", ""bmi"", ""sedentary_minutes"", ""weight""]",8,0.11031017712973153,0.7520833333333333,0,0.0,0
nhanes,4,PSEUL-Select,"[""age"", ""bmi"", ""prediabetes_told"", ""sedentary_minutes"", ""total_cholesterol"", ""race_ethnicity"", ""waist"", ""systolic_bp""]",8,0.10547053329746964,0.7333333333333334,0,0.0,0
nhanes,4,PSEUL-Audit,"[""hba1c"", ""fasting_glucose"", ""age"", ""prediabetes_told"", ""bmi"", ""waist"", ""weight"", ""sedentary_minutes""]",8,0.32013640289523215,0.7937500000000001,2,1.0,0
nhanes,4,PSEUL-Auto (leakage metadata null),"[""hba1c"", ""fasting_glucose"", ""prediabetes_told"", ""age"", ""bmi"", ""sedentary_minutes"", ""total_cholesterol"", ""waist""]",8,0.32149717560895735,0.7791666666666668,2,1.0,0
nhanes,4,Oracle Trap Exclusion + SHAP,"[""age"", ""waist"", ""bmi"", ""total_cholesterol"", ""prediabetes_told"", ""race_ethnicity"", ""hdl_cholesterol"", ""systolic_bp""]",8,0.11422791603170242,0.7270833333333333,0,0.0,0
nhanes,5,All Features,"[""age"", ""sex_male"", ""race_ethnicity"", ""education"", ""income_ratio"", ""bmi"", ""waist"", ""weight"", ""systolic_bp"", ""diastolic_bp"", ""total_cholesterol"", ""hdl_cholesterol"", ""sedentary_minutes"", ""ever_smoked"", ""prediabetes_told"", ""hba1c"", ""fasting_glucose""]",17,0.18454844202604895,0.7009803921568628,2,1.0,0
nhanes,5,Mutual Information,"[""hba1c"", ""fasting_glucose"", ""age"", ""waist"", ""total_cholesterol"", ""bmi"", ""weight"", ""education""]",8,0.30628089951800275,0.75,2,1.0,0
nhanes,5,LightGBM Gain,"[""income_ratio"", ""age"", ""total_cholesterol"", ""hba1c"", ""diastolic_bp"", ""sedentary_minutes"", ""waist"", ""systolic_bp""]",8,0.1856781051130389,0.7145833333333333,1,0.5,0
nhanes,5,Permutation Importance,"[""hba1c"", ""fasting_glucose"", ""age"", ""prediabetes_told"", ""total_cholesterol"", ""waist"", ""diastolic_bp"", ""hdl_cholesterol""]",8,0.3232666956606103,0.75,2,1.0,0
nhanes,5,SHAP Ranking,"[""hba1c"", ""fasting_glucose"", ""prediabetes_told"", ""age"", ""total_cholesterol"", ""waist"", ""bmi"", ""diastolic_bp""]",8,0.3252543213516338,0.775,2,1.0,0
nhanes,5,Availability Gate + SHAP,"[""hba1c"", ""fasting_glucose"", ""prediabetes_told"", ""age"", ""total_cholesterol"", ""waist"", ""bmi"", ""diastolic_bp""]",8,0.3252543213516338,0.775,2,1.0,0
nhanes,5,Semantic Veto + SHAP,"[""prediabetes_told"", ""age"", ""total_cholesterol"", ""waist"", ""bmi"", ""diastolic_bp"", ""hdl_cholesterol"", ""sedentary_minutes""]",8,0.1178743231509501,0.7395833333333333,0,0.0,0
nhanes,5,PSEUL-Select,"[""age"", ""bmi"", ""prediabetes_told"", ""sedentary_minutes"", ""total_cholesterol"", ""waist"", ""diastolic_bp"", ""weight""]",8,0.11641308088212245,0.7520833333333333,0,0.0,0
nhanes,5,PSEUL-Audit,"[""hba1c"", ""fasting_glucose"", ""prediabetes_told"", ""age"", ""bmi"", ""waist"", ""weight"", ""diastolic_bp""]",8,0.3248357882397441,0.7895833333333333,2,1.0,0
nhanes,5,PSEUL-Auto (leakage metadata null),"[""hba1c"", ""fasting_glucose"", ""prediabetes_told"", ""age"", ""bmi"", ""sedentary_minutes"", ""total_cholesterol"", ""waist""]",8,0.32608920374990735,0.7791666666666668,2,1.0,0
nhanes,5,Oracle Trap Exclusion + SHAP,"[""age"", ""waist"", ""bmi"", ""hdl_cholesterol"", ""systolic_bp"", ""total_cholesterol"", ""prediabetes_told"", ""diastolic_bp""]",8,0.12340836827635014,0.7395833333333333,0,0.0,0
