study,fold,feature,raw_predictive_drop,predictive_utility,raw_shap_mean_abs,raw_shap_cv,shap_stability,evidence_relevance,clinical_utility,label_derived_risk,definitional_overlap,target_proxy_strength,semantic_risk_max,available_at_prediction,interpretation,leakage_risk,theta_l_mean,audit_score,pre_score,uncertainty_width,pseul_category,semantic_veto,admissible_for_selection,select_score,selection_order,selected,rejection_reason
nhanes,3,ever_smoked,9.532696340155412e-05,0.00012418267516883753,0.049890060619776196,0.383394165601638,0.616605834398362,0.45,0.6166666666666667,0.0,0.0,0.1,0.1,True,Lifestyle risk context.,0.05076128215256118,0.5,0.3900250883488897,0.3857064967987838,0.00010648130565407472,Low-Value Feature,False,True,0.36923674737129514,,False,not-in-final-subset
nhanes,3,education,0.001052508460856753,0.006084178290165066,0.18352438442917152,0.4574275346531195,0.5425724653468804,0.45,0.5,0.0,0.0,0.05,0.05,True,Socioeconomic context.,0.07535336240078644,0.5,0.34783974655642563,0.34292818276795867,0.00018205896639333536,Low-Value Feature,False,True,0.33395778685781613,,False,not-in-final-subset
nhanes,3,fasting_glucose,0.0484411988589297,0.3011550584981772,0.7566508050573226,0.04073116181224486,0.9592688381877551,0.95,0.8333333333333334,0.8,1.0,0.95,1.0,True,Fasting glucose is part of diabetes label definition.,0.8711720387886569,0.5,0.7280336185203375,0.01737189077627877,0.0005365747850477497,Label-Proximal Feature,True,False,0.0015826462752127901,,False,semantic-veto
nhanes,3,hba1c,0.16067542364879375,0.999993773390281,1.7918234074220578,0.08268103556785687,0.9173189644321431,0.95,0.8333333333333334,0.8,1.0,0.95,1.0,True,HbA1c is part of diabetes label definition.,0.9374995670197382,0.5,0.9292952582368462,0.01155272358898378,1.2776277909155547e-10,Label-Proximal Feature,True,False,0.0,,False,semantic-veto
nhanes,4,age,0.03002508623341556,0.20137784711151402,0.75506354366451,0.07787761167069228,0.9221223883293077,0.9,0.7333333333333333,0.0,0.0,0.05,0.05,True,Age is a stable diabetes risk factor.,0.11358999976610966,0.5,0.6531711651326491,0.6397269534071345,0.0008611569696722945,Clinically Actionable Feature,False,True,0.6397269534071345,1.0,True,
nhanes,4,bmi,0.0032492360190676654,0.02159691904534962,0.28542428184706353,0.3553411966811291,0.6446588033188709,0.9,0.8666666666666667,0.0,0.0,0.15,0.15,True,BMI is clinically actionable for diabetes prevention.,0.11260087495032338,0.5,0.5770775030440458,0.5653139991216691,0.000765472659330708,Clinically Actionable Feature,False,True,0.564466947551508,2.0,True,
nhanes,4,prediabetes_told,0.02042195621039741,0.13689960966779233,0.4712864429561836,0.03930968977107482,0.9606903102289251,0.825,0.7833333333333333,0.1,0.3,0.65,0.65,True,Prediabetes self-report is close to diabetes label.,0.290054034593818,0.5,0.6352912782794561,0.5658988018482402,0.003200598573705159,Clinically Actionable Feature,False,True,0.5543507006884979,3.0,True,
nhanes,4,sedentary_minutes,0.0022251996880564414,0.014721238143011128,0.22900006402395975,0.19634620474815065,0.8036537952518493,0.65,0.7166666666666668,0.0,0.0,0.1,0.1,True,Behavioral intervention target.,0.029902326873515666,0.5,0.5068137971599399,0.502248500769304,0.00013872145800637717,Domain-Supportive Feature,False,True,0.49900590146018153,4.0,True,
nhanes,4,total_cholesterol,0.009846540188702183,0.06589315826303511,0.37324395107337477,0.20636089381227937,0.7936391061877206,0.55,0.65,0.0,0.0,0.15,0.15,True,Metabolic risk marker.,0.0928967908102067,0.5,0.4784957687164547,0.4704657842782279,0.0002828358955798657,Domain-Supportive Feature,False,True,0.4668691629166915,5.0,True,
nhanes,4,race_ethnicity,0.0012544210969088162,0.00820314535917255,0.14648802385211743,0.18305586408224217,0.8169441359177578,0.625,0.5833333333333334,0.0,0.0,0.05,0.05,True,Race/ethnicity is a population risk descriptor.,0.012500000000000002,0.5,0.46793310412463673,0.4643874620974653,0.0,Domain-Supportive Feature,False,True,0.4591586288265333,6.0,True,
