study,method,auc,average_precision,mcc,accuracy,balanced_accuracy,f1_weighted,brier,sensitivity,specificity,ppv,npv,calibration_intercept,calibration_slope
adherence,All Features,0.9009334911145928,0.8173214581977348,0.6394807184371557,0.8198483589530536,0.825232689672051,0.821376389487869,0.12178400100155916,0.8526179702650291,0.797847409079073,0.7390183774092335,0.8896631823461092,0.010029696456026931,0.9733436280621023
adherence,Availability Gate + SHAP,0.9003501377182176,0.8155773800945643,0.6404907248448686,0.8202638138761944,0.8257710618315549,0.8217950046425437,0.12210927058084356,0.853781512605042,0.7977606110580678,0.7391985672710991,0.8904282115869018,0.01018636221631911,0.9639364672999331
adherence,LightGBM Gain,0.892005111152244,0.7901175165379536,0.6359506941835887,0.8160054009140009,0.8239542058803051,0.8177091628267329,0.12551303388362997,0.8643826761473821,0.783525735613228,0.728322440087146,0.8958912266772528,0.016122442533128174,0.9627671583700709
adherence,Mutual Information,0.8913165116486929,0.7921874128477624,0.6345392638278324,0.8151744910677191,0.8232598217122641,0.8168927195325326,0.12618599201738837,0.8643826761473821,0.7821369672771461,0.7270552414093084,0.8957256461232604,0.013926768618659404,0.9593083387826391
adherence,Oracle Trap Exclusion + SHAP,0.6542712284983432,0.5292170728781409,0.19342538405110266,0.627492729538845,0.5893914695668016,0.6130680183810086,0.22370024074778047,0.3956043956043956,0.7831785435292076,0.5505577545879813,0.6587093006278288,-0.058277636304896255,0.8292667926732841
adherence,PSEUL-Audit,0.8996307521292587,0.8138046972656696,0.6410120283048851,0.8204715413377649,0.8260508690266115,0.8220049204290345,0.12256153967400994,0.8544279250161603,0.7976738130370628,0.7392617449664429,0.890849166343544,0.01458992387720331,0.9581177552970886
adherence,PSEUL-Auto (leakage metadata null),0.9004622794147805,0.8156575148048846,0.6414773721327526,0.8208869962609057,0.8262281232657578,0.8224008168138238,0.12209282635838759,0.853393665158371,0.7990625813731447,0.740354419021983,0.8903288201160542,0.013717740994765592,0.9614379447878327
adherence,PSEUL-Select,0.8365004249848803,0.7210795890270241,0.5074145478422392,0.7545180722891566,0.758231271784017,0.7566774904964869,0.15982344621305528,0.7771170006464124,0.7393455429216214,0.6668515642334147,0.8316735012692833,0.00536180924297845,0.9204738412562122
adherence,Permutation Importance,0.9004622794147805,0.8156575148048846,0.6414773721327526,0.8208869962609057,0.8262281232657578,0.8224008168138238,0.12209282635838759,0.853393665158371,0.7990625813731447,0.740354419021983,0.8903288201160542,0.013717740994765592,0.9614379447878327
adherence,SHAP Ranking,0.9003501377182176,0.8155773800945643,0.6404907248448686,0.8202638138761944,0.8257710618315549,0.8217950046425437,0.12210927058084356,0.853781512605042,0.7977606110580678,0.7391985672710991,0.8904282115869018,0.01018636221631911,0.9639364672999331
adherence,Semantic Veto + SHAP,0.8368644660965078,0.7218857611060662,0.5079930752781276,0.7551412546738678,0.7584546686815179,0.7572622961318282,0.1597174618005313,0.7753070458952812,0.7416022914677546,0.6682638734120794,0.8309667379887181,0.004902327904046631,0.9205026192778759
