study,fold,method,features,n_features,avg_leakage_risk,avg_clinical_utility,designated_traps_selected,designated_trap_fraction,prediction_unavailable_selected
adherence,2,Oracle Trap Exclusion + SHAP,"[""AGE"", ""COMORBIDITY_NO_COMORBIDITY"", ""ANNUALCONTRIBUTION"", ""GENDER_M"", ""DIAGNOSIS_HYPERTENSION""]",5,0.13616467272819516,0.6866666666666666,0,0.0,0
adherence,3,All Features,"[""AGE"", ""ANNUALCONTRIBUTION"", ""ANNUALCLAIMAMOUNT"", ""UNITSTOTAL"", ""GENDER_M"", ""SCHEMETYPE_MEDIUM"", ""SCHEMETYPE_PREMIUM"", ""DIAGNOSIS_HYPERTENSION"", ""COVERTYPE_STANDARD"", ""COMORBIDITY_NO_COMORBIDITY"", ""COMPLICATIONDEVELOPMENT_NO_COMPLICATION""]",11,0.1714195150178868,0.6151515151515151,2,1.0,0
adherence,3,Mutual Information,"[""UNITSTOTAL"", ""ANNUALCLAIMAMOUNT"", ""AGE"", ""COMORBIDITY_NO_COMORBIDITY"", ""ANNUALCONTRIBUTION""]",5,0.253258495392037,0.6466666666666666,2,1.0,0
adherence,3,LightGBM Gain,"[""ANNUALCLAIMAMOUNT"", ""UNITSTOTAL"", ""AGE"", ""ANNUALCONTRIBUTION"", ""DIAGNOSIS_HYPERTENSION""]",5,0.2312393075890374,0.6466666666666667,2,1.0,0
adherence,3,Permutation Importance,"[""UNITSTOTAL"", ""ANNUALCLAIMAMOUNT"", ""COMPLICATIONDEVELOPMENT_NO_COMPLICATION"", ""DIAGNOSIS_HYPERTENSION"", ""AGE""]",5,0.2323855071763822,0.6833333333333333,2,1.0,0
adherence,3,SHAP Ranking,"[""UNITSTOTAL"", ""ANNUALCLAIMAMOUNT"", ""AGE"", ""COMPLICATIONDEVELOPMENT_NO_COMPLICATION"", ""DIAGNOSIS_HYPERTENSION""]",5,0.2323855071763822,0.6833333333333333,2,1.0,0
adherence,3,Availability Gate + SHAP,"[""UNITSTOTAL"", ""ANNUALCLAIMAMOUNT"", ""AGE"", ""COMPLICATIONDEVELOPMENT_NO_COMPLICATION"", ""DIAGNOSIS_HYPERTENSION""]",5,0.2323855071763822,0.6833333333333333,2,1.0,0
adherence,3,Semantic Veto + SHAP,"[""ANNUALCLAIMAMOUNT"", ""AGE"", ""COMPLICATIONDEVELOPMENT_NO_COMPLICATION"", ""DIAGNOSIS_HYPERTENSION"", ""ANNUALCONTRIBUTION""]",5,0.18640619220763188,0.6733333333333333,1,0.5,0
adherence,3,PSEUL-Select,"[""COMPLICATIONDEVELOPMENT_NO_COMPLICATION"", ""AGE"", ""DIAGNOSIS_HYPERTENSION"", ""ANNUALCLAIMAMOUNT"", ""COMORBIDITY_NO_COMORBIDITY""]",5,0.19147359338876885,0.7233333333333334,1,0.5,0
adherence,3,PSEUL-Audit,"[""UNITSTOTAL"", ""ANNUALCLAIMAMOUNT"", ""AGE"", ""COMPLICATIONDEVELOPMENT_NO_COMPLICATION"", ""COMORBIDITY_NO_COMORBIDITY""]",5,0.2544046949793818,0.6833333333333333,2,1.0,0
adherence,3,PSEUL-Auto (leakage metadata null),"[""UNITSTOTAL"", ""COMPLICATIONDEVELOPMENT_NO_COMPLICATION"", ""AGE"", ""DIAGNOSIS_HYPERTENSION"", ""ANNUALCLAIMAMOUNT""]",5,0.2323855071763822,0.6833333333333333,2,1.0,0
adherence,3,Oracle Trap Exclusion + SHAP,"[""AGE"", ""COMORBIDITY_NO_COMORBIDITY"", ""ANNUALCONTRIBUTION"", ""GENDER_M"", ""DIAGNOSIS_HYPERTENSION""]",5,0.13722752815886125,0.6866666666666666,0,0.0,0
adherence,4,All Features,"[""AGE"", ""ANNUALCONTRIBUTION"", ""ANNUALCLAIMAMOUNT"", ""UNITSTOTAL"", ""GENDER_M"", ""SCHEMETYPE_MEDIUM"", ""SCHEMETYPE_PREMIUM"", ""DIAGNOSIS_HYPERTENSION"", ""COVERTYPE_STANDARD"", ""COMORBIDITY_NO_COMORBIDITY"", ""COMPLICATIONDEVELOPMENT_NO_COMPLICATION""]",11,0.17310358695103864,0.6151515151515151,2,1.0,0
adherence,4,Mutual Information,"[""UNITSTOTAL"", ""ANNUALCLAIMAMOUNT"", ""AGE"", ""COMORBIDITY_NO_COMORBIDITY"", ""COVERTYPE_STANDARD""]",5,0.2463135373507504,0.6366666666666666,2,1.0,0
adherence,4,LightGBM Gain,"[""ANNUALCLAIMAMOUNT"", ""UNITSTOTAL"", ""AGE"", ""ANNUALCONTRIBUTION"", ""DIAGNOSIS_HYPERTENSION""]",5,0.23528511064332855,0.6466666666666667,2,1.0,0
adherence,4,Permutation Importance,"[""UNITSTOTAL"", ""ANNUALCLAIMAMOUNT"", ""COMPLICATIONDEVELOPMENT_NO_COMPLICATION"", ""AGE"", ""DIAGNOSIS_HYPERTENSION""]",5,0.23551027698676905,0.6833333333333333,2,1.0,0
adherence,4,SHAP Ranking,"[""UNITSTOTAL"", ""ANNUALCLAIMAMOUNT"", ""AGE"", ""COMPLICATIONDEVELOPMENT_NO_COMPLICATION"", ""DIAGNOSIS_HYPERTENSION""]",5,0.23551027698676905,0.6833333333333333,2,1.0,0
adherence,4,Availability Gate + SHAP,"[""UNITSTOTAL"", ""ANNUALCLAIMAMOUNT"", ""AGE"", ""COMPLICATIONDEVELOPMENT_NO_COMPLICATION"", ""DIAGNOSIS_HYPERTENSION""]",5,0.23551027698676905,0.6833333333333333,2,1.0,0
adherence,4,Semantic Veto + SHAP,"[""ANNUALCLAIMAMOUNT"", ""AGE"", ""COMPLICATIONDEVELOPMENT_NO_COMPLICATION"", ""DIAGNOSIS_HYPERTENSION"", ""ANNUALCONTRIBUTION""]",5,0.18641935976190638,0.6733333333333333,1,0.5,0
adherence,4,PSEUL-Select,"[""DIAGNOSIS_HYPERTENSION"", ""COMPLICATIONDEVELOPMENT_NO_COMPLICATION"", ""AGE"", ""ANNUALCLAIMAMOUNT"", ""COMORBIDITY_NO_COMORBIDITY""]",5,0.1902207182950983,0.7233333333333334,1,0.5,0
adherence,4,PSEUL-Audit,"[""UNITSTOTAL"", ""ANNUALCLAIMAMOUNT"", ""AGE"", ""DIAGNOSIS_HYPERTENSION"", ""COMPLICATIONDEVELOPMENT_NO_COMPLICATION""]",5,0.23551027698676905,0.6833333333333333,2,1.0,0
adherence,4,PSEUL-Auto (leakage metadata null),"[""UNITSTOTAL"", ""DIAGNOSIS_HYPERTENSION"", ""COMPLICATIONDEVELOPMENT_NO_COMPLICATION"", ""AGE"", ""ANNUALCLAIMAMOUNT""]",5,0.23551027698676905,0.6833333333333333,2,1.0,0
adherence,4,Oracle Trap Exclusion + SHAP,"[""AGE"", ""COMORBIDITY_NO_COMORBIDITY"", ""ANNUALCONTRIBUTION"", ""GENDER_M"", ""DIAGNOSIS_HYPERTENSION""]",5,0.13504089408984127,0.6866666666666666,0,0.0,0
adherence,5,All Features,"[""AGE"", ""ANNUALCONTRIBUTION"", ""ANNUALCLAIMAMOUNT"", ""UNITSTOTAL"", ""GENDER_M"", ""SCHEMETYPE_MEDIUM"", ""SCHEMETYPE_PREMIUM"", ""DIAGNOSIS_HYPERTENSION"", ""COVERTYPE_STANDARD"", ""COMORBIDITY_NO_COMORBIDITY"", ""COMPLICATIONDEVELOPMENT_NO_COMPLICATION""]",11,0.17283173121929993,0.6151515151515151,2,1.0,0
adherence,5,Mutual Information,"[""UNITSTOTAL"", ""ANNUALCLAIMAMOUNT"", ""AGE"", ""COMORBIDITY_NO_COMORBIDITY"", ""SCHEMETYPE_PREMIUM""]",5,0.25733978760522774,0.6333333333333333,2,1.0,0
adherence,5,LightGBM Gain,"[""ANNUALCLAIMAMOUNT"", ""UNITSTOTAL"", ""AGE"", ""ANNUALCONTRIBUTION"", ""DIAGNOSIS_HYPERTENSION""]",5,0.23556853092603278,0.6466666666666667,2,1.0,0
adherence,5,Permutation Importance,"[""UNITSTOTAL"", ""ANNUALCLAIMAMOUNT"", ""COMPLICATIONDEVELOPMENT_NO_COMPLICATION"", ""AGE"", ""DIAGNOSIS_HYPERTENSION""]",5,0.23660665262184608,0.6833333333333333,2,1.0,0
adherence,5,SHAP Ranking,"[""UNITSTOTAL"", ""ANNUALCLAIMAMOUNT"", ""COMPLICATIONDEVELOPMENT_NO_COMPLICATION"", ""AGE"", ""GENDER_M""]",5,0.23262880690594287,0.63,2,1.0,0
adherence,5,Availability Gate + SHAP,"[""UNITSTOTAL"", ""ANNUALCLAIMAMOUNT"", ""COMPLICATIONDEVELOPMENT_NO_COMPLICATION"", ""AGE"", ""GENDER_M""]",5,0.23262880690594287,0.63,2,1.0,0
adherence,5,Semantic Veto + SHAP,"[""ANNUALCLAIMAMOUNT"", ""COMPLICATIONDEVELOPMENT_NO_COMPLICATION"", ""AGE"", ""GENDER_M"", ""DIAGNOSIS_HYPERTENSION""]",5,0.16756435424995567,0.67,1,0.5,0
adherence,5,PSEUL-Select,"[""COMPLICATIONDEVELOPMENT_NO_COMPLICATION"", ""AGE"", ""DIAGNOSIS_HYPERTENSION"", ""ANNUALCLAIMAMOUNT"", ""COMORBIDITY_NO_COMORBIDITY""]",5,0.19387966885797578,0.7233333333333334,1,0.5,0
adherence,5,PSEUL-Audit,"[""UNITSTOTAL"", ""AGE"", ""COMPLICATIONDEVELOPMENT_NO_COMPLICATION"", ""ANNUALCLAIMAMOUNT"", ""DIAGNOSIS_HYPERTENSION""]",5,0.23660665262184608,0.6833333333333333,2,1.0,0
adherence,5,PSEUL-Auto (leakage metadata null),"[""UNITSTOTAL"", ""COMPLICATIONDEVELOPMENT_NO_COMPLICATION"", ""AGE"", ""DIAGNOSIS_HYPERTENSION"", ""ANNUALCLAIMAMOUNT""]",5,0.23660665262184613,0.6833333333333333,2,1.0,0
adherence,5,Oracle Trap Exclusion + SHAP,"[""AGE"", ""COMORBIDITY_NO_COMORBIDITY"", ""ANNUALCONTRIBUTION"", ""GENDER_M"", ""DIAGNOSIS_HYPERTENSION""]",5,0.13773120225466828,0.6866666666666666,0,0.0,0
