study,fold,feature,raw_predictive_drop,predictive_utility,raw_shap_mean_abs,raw_shap_cv,shap_stability,evidence_relevance,clinical_utility,label_derived_risk,definitional_overlap,target_proxy_strength,semantic_risk_max,available_at_prediction,interpretation,leakage_risk,theta_l_mean,audit_score,pre_score,uncertainty_width,pseul_category,semantic_veto,admissible_for_selection,select_score,selection_order,selected,rejection_reason
adherence,2,COVERTYPE_STANDARD,2.6324817873287407e-05,0.00010796326188172167,0.021972856897949297,0.5103170667140643,0.4896829332859357,0.45,0.5,0.05,0.05,0.25,0.25,True,Administrative coverage context.,0.10174380924292468,0.5,0.3354689756357517,0.32930188316685277,0.000668180093677271,Low-Value Feature,False,True,0.3104380206216221,,False,not-in-final-subset
adherence,2,SCHEMETYPE_MEDIUM,2.0310813843423443e-05,8.329864710036782e-05,0.008737260693649072,0.2458776515690347,0.5,0.45,0.4833333333333334,0.05,0.05,0.25,0.25,True,Insurance plan proxy.,0.13088942453867838,0.5,0.3333583229274635,0.32523907837450244,0.0003619182451038644,Low-Value Feature,False,True,0.3063138504333655,,False,not-in-final-subset
adherence,2,SCHEMETYPE_PREMIUM,0.0,0.0,0.0029555541117211753,0.5441622515417686,0.5,0.45,0.4833333333333334,0.05,0.05,0.25,0.25,True,Insurance plan proxy.,0.142339064820697,0.5,0.33333333333333337,0.3242436241974394,0.0006810652632950253,Low-Value Feature,False,True,0.3025340324615476,,False,not-in-final-subset
adherence,3,COMPLICATIONDEVELOPMENT_NO_COMPLICATION,0.016334301008621727,0.07217570677565031,0.18049747802648122,0.015733345606449973,0.98426665439355,0.8,0.7333333333333334,0.05,0.15,0.25,0.25,True,"Clinical status, but temporality must be verified.",0.15311120195808345,0.5,0.6018393762447385,0.5836527486943762,0.0004751870403174903,Clinically Actionable Feature,False,True,0.5836527486943762,1.0,True,
adherence,3,AGE,0.006284786667475613,0.027675656139193316,0.2130100896816042,0.04935318431841843,0.9506468156815816,0.9,0.75,0.0,0.0,0.05,0.05,True,Demographic risk stratifier available before prediction.,0.2624989591484527,0.5,0.6109320599780743,0.5589428201934369,3.3804207112517586e-09,Clinically Actionable Feature,False,True,0.5521498581956313,2.0,True,
adherence,3,DIAGNOSIS_HYPERTENSION,0.006603739511947912,0.029088004761011452,0.08653102145636045,0.2993916685192441,0.7006083314807559,0.85,0.8000000000000002,0.0,0.0,0.1,0.1,True,Clinically meaningful diagnosis for adherence support.,0.06262127091204643,0.5,0.5613480677244547,0.5543017332120969,0.001045607802028425,Clinically Actionable Feature,False,True,0.5473318782994068,3.0,True,
adherence,3,ANNUALCLAIMAMOUNT,0.0858927270411269,0.38018596235241026,0.773436972503356,0.0808123191569708,0.9191876808430292,0.725,0.5333333333333333,0.15,0.3,0.75,0.75,True,Claims-utilization proxy with strong leakage risk.,0.3064193249982175,0.5,0.6124766582076622,0.5350277506308126,0.007105320209665274,Domain-Supportive Feature,False,True,0.5279354905716546,4.0,True,
adherence,3,COMORBIDITY_NO_COMORBIDITY,0.0006599732574584793,0.0027685339570244225,0.028370795056229737,0.23574579232006487,0.7642542076799351,0.85,0.7999999999999999,0.0,0.0,0.1,0.1,True,Comorbidity status supports clinical risk stratification.,0.17271720992704429,0.5,0.5661814017230944,0.5454828571694049,0.0011679349926423997,Clinically Actionable Feature,False,True,0.4971906620228485,5.0,True,
adherence,3,UNITSTOTAL,0.2258652769831154,0.9999955719202813,2.102530138665724,0.0573875945866004,0.9426124054133996,0.825,0.6000000000000001,0.2,0.4,0.9,0.9,True,Dispensed-unit proxy close to refill/PDC behavior.,0.3772767788651111,0.5,0.8447711526587643,0.6532707847220195,0.0036675797540407892,Domain-Supportive Feature,True,False,0.5596161387224495,,False,semantic-veto
adherence,3,ANNUALCONTRIBUTION,0.0011233480244509616,0.004820394364884715,0.0533442365561955,0.12357336259310356,0.8764266374068964,0.55,0.5499999999999999,0.05,0.05,0.3,0.3,True,Affordability and insurance context; not direct adherence evidence.,0.14738020402135946,0.5,0.4517314457908447,0.43879955405120247,0.0008996794395530305,Domain-Supportive Feature,False,True,0.4157661195395712,,False,not-in-final-subset
