study,method,auc,average_precision,mcc,accuracy,balanced_accuracy,f1_weighted,brier,sensitivity,specificity,ppv,npv,calibration_intercept,calibration_slope
diabetes130_admission,All Features,0.6358881255276085,0.1552530656169598,0.020342651669948735,0.9115,0.5011696944776715,0.8703189292937986,0.07845461068111037,0.0031960227272727275,0.9991433662280702,0.2647058823529412,0.9121879496965526,-0.4267969660944348,0.801634251581458
diabetes130_admission,Availability Gate + SHAP,0.5646492564126826,0.11767544763476509,0.020331793880878954,0.911125,0.5014453748006379,0.8703080826263327,0.08028962388929889,0.004261363636363636,0.9986293859649122,0.23076923076923078,0.9122323776136221,-1.0717147634506239,0.5332129915600269
diabetes130_admission,LightGBM Gain,0.5954387123314767,0.13332062463111483,0.022191926852582932,0.91178125,0.5010030402711324,0.87034057745383,0.07954813436458391,0.0024857954545454545,0.9995202850877193,0.3333333333333333,0.9121611057256325,-0.8242035688687738,0.633584843017204
diabetes130_admission,Mutual Information,0.6288172525652288,0.1537457990914971,0.02715542787371319,0.910875,0.5022708582535885,0.8705353610771958,0.07868254475415667,0.006392045454545455,0.9981496710526315,0.25,0.9123653219744425,-0.5338291406462282,0.759611499895573
diabetes130_admission,Oracle Trap Exclusion + SHAP,0.5658443639533182,0.11818643013883115,0.014835975701865185,0.91115625,0.5009812350478469,0.8701451081047782,0.08026305407208233,0.0031960227272727275,0.998766447368421,0.2,0.912157721796276,-1.087091359213678,0.5261258026692821
diabetes130_admission,PSEUL-Audit,0.6283317699766995,0.14885130364927646,0.04423266068493881,0.9114375,0.5035417912679425,0.8711768305035761,0.07895684126190408,0.008522727272727272,0.9985608552631579,0.36363636363636365,0.9125696749545938,-0.6129886267920799,0.7236347308218052
diabetes130_admission,PSEUL-Auto (leakage metadata null),0.5718121810012647,0.1198968591567911,0.026063923184282856,0.911375,0.50174286034689,0.8704946223432987,0.08019067001836377,0.004616477272727273,0.9988692434210527,0.2826086956521739,0.9122801527195343,-1.002380674303124,0.5628378213280305
diabetes130_admission,PSEUL-Select,0.5718121810012647,0.1198968591567911,0.026063923184282856,0.911375,0.50174286034689,0.8704946223432987,0.08019067001836377,0.004616477272727273,0.9988692434210527,0.2826086956521739,0.9122801527195343,-1.002380674303124,0.5628378213280305
diabetes130_admission,Permutation Importance,0.6250374108030085,0.15122251531788555,0.030086347892016526,0.91109375,0.5023907869816587,0.8706473529350982,0.07888574166202202,0.006392045454545455,0.9983895285087719,0.27692307692307694,0.9123845310787537,-0.6353154369749999,0.7135368236489542
diabetes130_admission,SHAP Ranking,0.6242888540362248,0.1500442183003968,0.0271727962099195,0.9114375,0.5017771256977671,0.870526398429833,0.0788782536028667,0.004616477272727273,0.998937774122807,0.29545454545454547,0.9122856427587933,-0.6216889531440204,0.7191066867492063
diabetes130_admission,Semantic Veto + SHAP,0.5646492564126826,0.11767544763476509,0.020331793880878954,0.911125,0.5014453748006379,0.8703080826263327,0.08028962388929889,0.004261363636363636,0.9986293859649122,0.23076923076923078,0.9122323776136221,-1.0717147634506239,0.5332129915600269
