study,fold,method,features,n_features,avg_leakage_risk,avg_clinical_utility,designated_traps_selected,designated_trap_fraction,prediction_unavailable_selected
diabetes130_admission,3,SHAP Ranking,"[""discharge_disposition_id"", ""number_inpatient"", ""age_ordinal"", ""time_in_hospital"", ""diabetesMed_flag""]",5,0.45298442295503466,0.54,3,0.2727272727272727,3
diabetes130_admission,3,Availability Gate + SHAP,"[""number_inpatient"", ""age_ordinal"", ""admission_source_id"", ""admission_type_id"", ""gender_male""]",5,0.13847006131461853,0.58,0,0.0,0
diabetes130_admission,3,Semantic Veto + SHAP,"[""number_inpatient"", ""age_ordinal"", ""admission_source_id"", ""admission_type_id"", ""gender_male""]",5,0.13847006131461853,0.58,0,0.0,0
diabetes130_admission,3,PSEUL-Select,"[""age_ordinal"", ""number_inpatient"", ""admission_type_id"", ""number_emergency"", ""number_outpatient""]",5,0.15453577082787814,0.6066666666666667,0,0.0,0
diabetes130_admission,3,PSEUL-Audit,"[""discharge_disposition_id"", ""number_inpatient"", ""age_ordinal"", ""a1c_ordinal"", ""time_in_hospital""]",5,0.43687034604776,0.55,3,0.2727272727272727,3
diabetes130_admission,3,PSEUL-Auto (leakage metadata null),"[""number_inpatient"", ""age_ordinal"", ""admission_type_id"", ""number_emergency"", ""number_outpatient""]",5,0.15453577082787814,0.6066666666666667,0,0.0,0
diabetes130_admission,3,Oracle Trap Exclusion + SHAP,"[""age_ordinal"", ""number_inpatient"", ""gender_male"", ""admission_source_id"", ""admission_type_id""]",5,0.13847006131461853,0.5800000000000001,0,0.0,0
diabetes130_admission,4,All Features,"[""time_in_hospital"", ""num_lab_procedures"", ""num_procedures"", ""num_medications"", ""number_outpatient"", ""number_emergency"", ""number_inpatient"", ""number_diagnoses"", ""discharge_disposition_id"", ""admission_source_id"", ""admission_type_id"", ""age_ordinal"", ""gender_male"", ""a1c_ordinal"", ""max_glu_ordinal"", ""insulin_ordinal"", ""change_flag"", ""diabetesMed_flag""]",18,0.371045664067177,0.5111111111111112,11,1.0,11
diabetes130_admission,4,Mutual Information,"[""discharge_disposition_id"", ""time_in_hospital"", ""number_inpatient"", ""diabetesMed_flag"", ""number_emergency""]",5,0.4575662779036528,0.5166666666666666,3,0.2727272727272727,3
diabetes130_admission,4,LightGBM Gain,"[""num_lab_procedures"", ""num_medications"", ""time_in_hospital"", ""discharge_disposition_id"", ""age_ordinal""]",5,0.47671654725686763,0.5166666666666667,4,0.36363636363636365,4
diabetes130_admission,4,Permutation Importance,"[""discharge_disposition_id"", ""number_inpatient"", ""age_ordinal"", ""diabetesMed_flag"", ""num_lab_procedures""]",5,0.4294541150637324,0.5233333333333333,3,0.2727272727272727,3
