study,fold,feature,raw_predictive_drop,predictive_utility,raw_shap_mean_abs,raw_shap_cv,shap_stability,evidence_relevance,clinical_utility,label_derived_risk,definitional_overlap,target_proxy_strength,semantic_risk_max,available_at_prediction,interpretation,leakage_risk,theta_l_mean,audit_score,pre_score,uncertainty_width,pseul_category,semantic_veto,admissible_for_selection,select_score,selection_order,selected,rejection_reason
diabetes130_admission,4,diabetesMed_flag,0.005721265102312782,0.09971594576283836,0.08880592152475679,0.17590072670171586,0.8240992732982841,0.65,0.4666666666666666,0.85,0.1,0.85,0.85,False,Unavailable at admission landmark. On diabetes medication; actionable.,0.525850907358609,0.5789955264409942,0.47390130505517497,0.0,0.0,Low-Value Feature,True,False,0.0,,False,post-landmark
diabetes130_admission,5,number_inpatient,0.03161802980577389,0.5140642565342656,0.1469712322487697,0.020707421415497678,0.9792925785845024,0.7250000000000001,0.5833333333333334,0.0,0.0,0.35,0.35,True,Prior-year history available at admission. Prior inpatient visits: strong operational proxy for readmission.,0.33749770356927256,0.5772211336620998,0.6771611260105136,0.6206590852252637,0.0024515225607732037,Domain-Supportive Feature,False,True,0.6206590852252637,1.0,True,
diabetes130_admission,5,age_ordinal,0.009833766647658315,0.15773861160961797,0.10541142599294658,0.134060643890592,0.865939356109408,0.85,0.7166666666666667,0.0,0.0,0.05,0.05,True,Age is a stable readmission risk factor.,0.1073780540070403,0.5772211336620998,0.6121761213714337,0.6066190461708874,0.0006795790833392552,Clinically Actionable Feature,False,True,0.60414417502055,2.0,True,
diabetes130_admission,5,number_emergency,0.003588879363783285,0.05559086060434636,0.027424685268629793,0.09931366352892645,0.9006863364710735,0.6,0.6,0.0,0.0,0.35,0.35,True,Prior-year history available at admission. Prior-year ED visits; utilization proxy.,0.1594807024608211,0.5772211336620998,0.49681452547551863,0.4892565686812557,0.0010295929113880251,Domain-Supportive Feature,False,True,0.47414524517496665,3.0,True,
diabetes130_admission,5,admission_type_id,0.0022703670134429717,0.034023926705042215,0.030289433592299766,0.10416065037836232,0.8958393496216377,0.525,0.55,0.0,0.0,0.1,0.1,True,Admission type is available at the admission landmark.,0.02710218365515868,0.5772211336620998,0.45812504793584025,0.4562602568830103,0.00010523872414487534,Domain-Supportive Feature,False,True,0.4518471908284343,4.0,True,
diabetes130_admission,5,number_outpatient,0.0009656243155503026,0.012682223296812416,0.02258970674332482,0.349903299861418,0.650096700138582,0.55,0.5833333333333334,0.0,0.0,0.35,0.35,True,Prior-year history available at admission. Prior-year outpatient visits; utilization proxy.,0.12092167387182773,0.5772211336620998,0.41715734035009344,0.41283928162164135,0.00035930513723903023,Domain-Supportive Feature,False,True,0.40194144108495716,5.0,True,
diabetes130_admission,5,admission_source_id,0.0006682306080317242,0.007817748246224741,0.05131171759193447,0.2926054241283922,0.7073945758716078,0.45,0.5,0.1,0.15,0.35,0.35,True,Admission source; administrative context.,0.1559179083525203,0.5772211336620998,0.381324239648189,0.37575404341291624,0.00034963734895754426,Low-Value Feature,False,True,0.36355936115685034,,False,not-in-final-subset
diabetes130_admission,5,gender_male,0.00032714487345096485,0.002238601801521226,0.03233845568557538,0.5808743842065395,0.4191256157934605,0.525,0.5499999999999999,0.0,0.0,0.05,0.05,True,Demographic stratifier.,0.02404344979477883,0.5772211336620998,0.35324670369914846,0.3518455975792037,0.00017428233542973252,Low-Value Feature,False,True,0.34608709924995723,,False,not-in-final-subset
diabetes130_admission,5,time_in_hospital,0.003857803267277715,0.05998965447920862,0.08674623759571669,0.07920726304118353,0.9207927369588165,0.7,0.5166666666666666,0.85,0.1,0.85,0.85,False,Unavailable at admission landmark. Length of stay; utilization signal.,0.558303592924302,0.5772211336620998,0.5063221104021925,0.0,0.0,Low-Value Feature,True,False,0.0,,False,post-landmark
diabetes130_admission,5,num_lab_procedures,0.002446323567017942,0.036902051706390354,0.10587065837419818,0.10748757495946343,0.8925124250405365,0.55,0.43333333333333335,0.85,0.05,0.85,0.85,False,Unavailable at admission landmark. Care-intensity proxy.,0.5014038595878768,0.5772211336620998,0.43540643385335775,0.0,0.0,Low-Value Feature,True,False,0.0,,False,post-landmark
diabetes130_admission,5,num_procedures,0.002030729731745947,0.030104174711187388,0.04014671244456011,0.15439346093001793,0.8456065390699821,0.55,0.43333333333333335,0.85,0.05,0.85,0.85,False,Unavailable at admission landmark. Care-intensity proxy.,0.44510462031244646,0.5772211336620998,0.423985893560686,0.0,0.0,Domain-Supportive Feature,True,False,0.0,,False,post-landmark
diabetes130_admission,5,num_medications,0.002365925992775808,0.03558698691469768,0.11090974240936939,0.052044285488768556,0.9479557145112314,0.7,0.5,0.85,0.1,0.85,0.85,False,Unavailable at admission landmark. Treatment burden; clinically meaningful.,0.5235846389090871,0.5772211336620998,0.5002672389766556,0.0,0.0,Low-Value Feature,True,False,0.0,,False,post-landmark
diabetes130_admission,5,number_diagnoses,0.005360055632687762,0.08456202762118904,0.06532341022993234,0.3036621072513323,0.6963378927486676,0.6499999999999999,0.4666666666666666,0.85,0.4,0.85,0.85,False,Unavailable at admission landmark. Diagnosis count: proxy for case complexity / readmission.,0.6034602825393237,0.5772211336620998,0.4438028535027569,0.0,0.0,Low-Value Feature,True,False,0.0,,False,post-landmark
diabetes130_admission,5,discharge_disposition_id,0.061325113589164426,0.9999836429792305,0.24893227677656618,0.06650553626597988,0.9334944637340201,0.65,0.4166666666666667,0.85,0.55,0.85,0.85,False,Unavailable at admission landmark. Discharge disposition: encodes death/hospice; partly determines readmission.,0.6950312482169435,0.5772211336620998,0.7533606523072398,0.0,0.0,Predictive Proxy Feature,True,False,0.0,,False,post-landmark
diabetes130_admission,5,a1c_ordinal,0.0025704560207427136,0.0389324888301303,0.04069792982172108,0.16647452223255643,0.8335254777674436,0.85,0.5166666666666667,0.85,0.05,0.85,0.85,False,Unavailable at admission landmark. HbA1c: actionable glycemic control marker.,0.45675449348087427,0.5772211336620998,0.5200515088691945,0.0,0.0,Domain-Supportive Feature,True,False,0.0,,False,post-landmark
diabetes130_admission,5,max_glu_ordinal,0.00019028609989599766,0.0,0.006942741941533927,0.1350421292690444,0.8649578707309555,0.7,0.4666666666666666,0.85,0.05,0.85,0.85,False,Unavailable at admission landmark. Serum glucose: clinical marker.,0.45300808133773723,0.5772211336620998,0.4646582408128577,0.0,0.0,Domain-Supportive Feature,True,False,0.0,,False,post-landmark
diabetes130_admission,5,insulin_ordinal,0.0016386126228706908,0.02369030701725477,0.03834081845301506,0.10161682235745631,0.8983831776425437,0.7,0.4666666666666666,0.85,0.1,0.85,0.85,False,Unavailable at admission landmark. Insulin regimen change; actionable.,0.4963211970929222,0.5772211336620998,0.4784503943003518,0.0,0.0,Domain-Supportive Feature,True,False,0.0,,False,post-landmark
diabetes130_admission,5,change_flag,0.0009170006289334953,0.011886884644933654,0.018387945030045375,0.24355850287893815,0.7564414971210618,0.6,0.43333333333333335,0.85,0.1,0.85,0.85,False,Unavailable at admission landmark. Medication change; actionable.,0.4848181886843941,0.5772211336620998,0.4131876981510258,0.0,0.0,Domain-Supportive Feature,True,False,0.0,,False,post-landmark
diabetes130_admission,5,diabetesMed_flag,0.004770290824720476,0.07491523240817238,0.07093122230272897,0.18918239561800368,0.8108176043819963,0.65,0.4666666666666666,0.85,0.1,0.85,0.85,False,Unavailable at admission landmark. On diabetes medication; actionable.,0.5194530353733614,0.5772211336620998,0.4638047572655177,0.0,0.0,Low-Value Feature,True,False,0.0,,False,post-landmark
