study,tau_v,auc,mean_trap_selection_frequency,traps_ever_selected,locked_auc,locked_trap_freq,delta_auc
adherence,0.75,0.6540211974569694,0.0,none,0.8365004249848803,0.5,-0.1824792275279109
adherence,0.95,0.8905211174759877,0.5,UNITSTOTAL,0.8365004249848803,0.5,0.054020692491107414
nhanes,0.6,0.7839609894614576,0.0,none,0.7928464506121594,0.0,-0.008885461150701768
diabetes130_admission,0.9,0.5708429269697373,0.0,none,0.5718121810012647,0.0,-0.0009692540315274778
