study,reference,comparator,metric,delta_reference_minus_comparator,ci_low,ci_high,probability_delta_gt_zero,two_sided_bootstrap_p,bootstrap_replicates,inference_method,holm_adjusted_p
nhanes,PSEUL-Select,PSEUL-Auto (leakage metadata null),auc,-0.1539780395994159,-0.1681037072646214,-0.1398523719342103,1.4098394186840014e-101,2.8196788373680027e-101,0,paired DeLong,2.819678837368002e-100
nhanes,PSEUL-Select,PSEUL-Auto (leakage metadata null),mcc,-0.46339866128753,-0.5005498673972631,-0.4277068093383742,0.0,0.000999500249875,2000,paired stratified multinomial bootstrap,0.0099950024987506
nhanes,PSEUL-Select,Permutation Importance,auc,-0.1539960269230571,-0.1683035769381171,-0.1396884769079971,4.326921457370399e-99,8.653842914740797e-99,0,paired DeLong,6.923074331792638e-98
nhanes,PSEUL-Select,Permutation Importance,mcc,-0.4636593766713548,-0.4986798789287815,-0.4282944486810381,0.0,0.000999500249875,2000,paired stratified multinomial bootstrap,0.0099950024987506
nhanes,PSEUL-Select,SHAP Ranking,auc,-0.1528536935078122,-0.1671966323377594,-0.138510754677865,3.4525282107163584e-97,6.905056421432718e-97,0,paired DeLong,4.833539495002902e-96
nhanes,PSEUL-Select,SHAP Ranking,mcc,-0.4587611556458303,-0.492581226580848,-0.4244331156875349,0.0,0.000999500249875,2000,paired stratified multinomial bootstrap,0.0099950024987506
nhanes,PSEUL-Select,Semantic Veto + SHAP,auc,0.0027903412315208,-0.0050656774039485,0.0106463598669902,0.7568365945247228,0.4863268109505544,0,paired DeLong,0.9726536219011088
nhanes,PSEUL-Select,Semantic Veto + SHAP,mcc,0.0279823602178998,-0.0015192749974124,0.0570431844701479,0.9675,0.0659670164917541,2000,paired stratified multinomial bootstrap,0.0659670164917541
brfss,PSEUL-Select,All Features,auc,-0.207352688242606,-0.2130434925759773,-0.2016618839092346,0.0,0.0,0,paired DeLong,0.0
brfss,PSEUL-Select,All Features,mcc,-0.7898058881063391,-0.8049004163148208,-0.7752100297157919,0.0,0.000999500249875,2000,paired stratified multinomial bootstrap,0.0099950024987506
brfss,PSEUL-Select,Availability Gate + SHAP,auc,-0.207352688242606,-0.2130434925759773,-0.2016618839092346,0.0,0.0,0,paired DeLong,0.0
brfss,PSEUL-Select,Availability Gate + SHAP,mcc,-0.7896071240354572,-0.8033138935367378,-0.7743841292340813,0.0,0.000999500249875,2000,paired stratified multinomial bootstrap,0.0099950024987506
brfss,PSEUL-Select,LightGBM Gain,auc,-0.2051311395114736,-0.2108445992931772,-0.19941767972977,0.0,0.0,0,paired DeLong,0.0
brfss,PSEUL-Select,LightGBM Gain,mcc,-0.7802234710328354,-0.7950414167165079,-0.7658870428090673,0.0,0.000999500249875,2000,paired stratified multinomial bootstrap,0.0099950024987506
brfss,PSEUL-Select,Mutual Information,auc,-0.207352688242606,-0.2130434925759773,-0.2016618839092346,0.0,0.0,0,paired DeLong,0.0
brfss,PSEUL-Select,Mutual Information,mcc,-0.7895079820729428,-0.8043365297726851,-0.7749520651812306,0.0,0.000999500249875,2000,paired stratified multinomial bootstrap,0.0099950024987506
brfss,PSEUL-Select,Oracle Trap Exclusion + SHAP,auc,-0.0104122680937399,-0.0123748950574512,-0.0084496411300287,1.261564068226874e-25,2.523128136453748e-25,0,paired DeLong,5.046256272907496e-25
brfss,PSEUL-Select,Oracle Trap Exclusion + SHAP,mcc,-0.0024318149824685,-0.0105724274393358,0.0054927819071187,0.283,0.5667166416791605,2000,paired stratified multinomial bootstrap,0.5667166416791605
brfss,PSEUL-Select,PSEUL-Audit,auc,-0.207352688242606,-0.2130434925759773,-0.2016618839092346,0.0,0.0,0,paired DeLong,0.0
brfss,PSEUL-Select,PSEUL-Audit,mcc,-0.7897715524440736,-0.8038379387261775,-0.7756434471628791,0.0,0.000999500249875,2000,paired stratified multinomial bootstrap,0.0099950024987506
brfss,PSEUL-Select,PSEUL-Auto (leakage metadata null),auc,-0.207352688242606,-0.2130434925759773,-0.2016618839092346,0.0,0.0,0,paired DeLong,0.0
brfss,PSEUL-Select,PSEUL-Auto (leakage metadata null),mcc,-0.789294857631521,-0.8045663246925303,-0.7756826355154507,0.0,0.000999500249875,2000,paired stratified multinomial bootstrap,0.0099950024987506
brfss,PSEUL-Select,Permutation Importance,auc,-0.207352688242606,-0.2130434925759773,-0.2016618839092346,0.0,0.0,0,paired DeLong,0.0
brfss,PSEUL-Select,Permutation Importance,mcc,-0.7896540819204481,-0.8036703985453876,-0.7748553801144099,0.0,0.000999500249875,2000,paired stratified multinomial bootstrap,0.0099950024987506
brfss,PSEUL-Select,SHAP Ranking,auc,-0.207352688242606,-0.2130434925759773,-0.2016618839092346,0.0,0.0,0,paired DeLong,0.0
brfss,PSEUL-Select,SHAP Ranking,mcc,-0.7895781980900258,-0.8032916640138091,-0.7757480720579736,0.0,0.000999500249875,2000,paired stratified multinomial bootstrap,0.0099950024987506
brfss,PSEUL-Select,Semantic Veto + SHAP,auc,-0.0081314380806619,-0.0105078804344247,-0.0057549957268991,9.96716276376892e-12,1.993432552753784e-11,0,paired DeLong,1.993432552753784e-11
brfss,PSEUL-Select,Semantic Veto + SHAP,mcc,0.0250525342230305,0.0126165890448478,0.0368777929333368,1.0,0.000999500249875,2000,paired stratified multinomial bootstrap,0.0099950024987506
diabetes130_admission,PSEUL-Select,All Features,auc,-0.0640759445263438,-0.0758790154503909,-0.0522728736022966,9.66967353704867e-27,1.933934707409734e-26,0,paired DeLong,1.933934707409734e-25
diabetes130_admission,PSEUL-Select,All Features,mcc,0.0060583280889724,-0.0174145096489125,0.0294740119381487,0.6905,0.6196901549225388,2000,paired stratified multinomial bootstrap,1.0
diabetes130_admission,PSEUL-Select,Availability Gate + SHAP,auc,0.0071629245885822,0.0001296304424011,0.0141962187347633,0.97703982465516,0.04592035068968,0,paired DeLong,0.1836814027587203
diabetes130_admission,PSEUL-Select,Availability Gate + SHAP,mcc,0.0058355238871709,-0.0096258693726676,0.0207241998730363,0.77,0.4607696151924038,2000,paired stratified multinomial bootstrap,1.0
diabetes130_admission,PSEUL-Select,LightGBM Gain,auc,-0.0236265313302119,-0.0379726309606425,-0.0092804316997814,0.000623478399036,0.0012469567980721,0,paired DeLong,0.0062347839903609
diabetes130_admission,PSEUL-Select,LightGBM Gain,mcc,0.0038053441143888,-0.0205426372414039,0.0282970002831498,0.62,0.7606196901549226,2000,paired stratified multinomial bootstrap,1.0
diabetes130_admission,PSEUL-Select,Mutual Information,auc,-0.057005071563964,-0.069660618072716,-0.0443495250552121,5.30276423926383e-19,1.060552847852766e-18,0,paired DeLong,8.484422782822128e-18
diabetes130_admission,PSEUL-Select,Mutual Information,mcc,-0.0008076488404325,-0.0221461310960333,0.0193225414674913,0.479,0.9585207396301848,2000,paired stratified multinomial bootstrap,1.0
diabetes130_admission,PSEUL-Select,Oracle Trap Exclusion + SHAP,auc,0.0059678170479465,-0.0016024199366926,0.0135380540325857,0.9388413295055786,0.1223173409888427,0,paired DeLong,0.2446346819776855
diabetes130_admission,PSEUL-Select,Oracle Trap Exclusion + SHAP,mcc,0.0113339952102726,-0.0026058355569994,0.0259418431867998,0.9505,0.0999500249875062,2000,paired stratified multinomial bootstrap,0.9995002498750624
diabetes130_admission,PSEUL-Select,PSEUL-Audit,auc,-0.0565195889754348,-0.0684301339897238,-0.0446090439611459,6.965256534416901e-21,1.3930513068833802e-20,0,paired DeLong,1.2537461761950422e-19
diabetes130_admission,PSEUL-Select,PSEUL-Audit,mcc,-0.0178987244097981,-0.0409520342527365,0.0055248897046527,0.069,0.1399300349825087,2000,paired stratified multinomial bootstrap,1.0
diabetes130_admission,PSEUL-Select,PSEUL-Auto (leakage metadata null),auc,0.0,0.0,0.0,0.5,1.0,0,paired DeLong,1.0
diabetes130_admission,PSEUL-Select,PSEUL-Auto (leakage metadata null),mcc,0.0,0.0,0.0,0.0,1.0,2000,paired stratified multinomial bootstrap,1.0
diabetes130_admission,PSEUL-Select,Permutation Importance,auc,-0.0532252298017437,-0.0656000007736384,-0.0408504588298489,1.7257844294762624e-17,3.451568858952525e-17,0,paired DeLong,2.4160982012667674e-16
diabetes130_admission,PSEUL-Select,Permutation Importance,mcc,-0.0038977351683766,-0.0253501356177574,0.0167382181308336,0.3595,0.719640179910045,2000,paired stratified multinomial bootstrap,1.0
diabetes130_admission,PSEUL-Select,SHAP Ranking,auc,-0.0524766730349599,-0.0647020429886476,-0.0402513030812723,1.9951521708225988e-17,3.9903043416451976e-17,0,paired DeLong,2.4160982012667674e-16
diabetes130_admission,PSEUL-Select,SHAP Ranking,mcc,-0.0010849232422114,-0.024142153848783,0.0217588539872458,0.457,0.9225387306346826,2000,paired stratified multinomial bootstrap,1.0
