study,method,auc,average_precision,mcc,accuracy,balanced_accuracy,f1_weighted,brier,sensitivity,specificity,ppv,npv,calibration_intercept,calibration_slope
diabetes130_discharge,All Features,0.6416460813055975,0.1651641907077881,0.047706603329976595,0.91025,0.5029496513885251,0.8686875155747337,0.0794618199681045,0.00662020905923345,0.9992790937178166,0.475,0.9107947434292866,-0.3651522872015579,0.8272790440987741
diabetes130_discharge,Availability Gate + SHAP,0.6277809554908849,0.15468496050566122,0.038926991807304884,0.909875,0.5027436781650442,0.8684954484709906,0.08017390418558536,0.00662020905923345,0.9988671472708548,0.36538461538461536,0.9107612370101414,-0.5788823390011776,0.736310565632021
diabetes130_discharge,LightGBM Gain,0.6102419886343927,0.14078625315411875,0.028616628516216436,0.9099375,0.5016786458875329,0.868110847517002,0.08064265160093043,0.004181184668989547,0.9991761071060762,0.3333333333333333,0.9105869102740584,-0.6909353964442055,0.6881252445170298
diabetes130_discharge,Mutual Information,0.6212122756213585,0.15275591338977887,0.04088597765165297,0.90975,0.5031461752016373,0.8686083407703049,0.08028398256700554,0.007665505226480836,0.9986268451767937,0.3548387096774194,0.9108272277537729,-0.6189217161689022,0.7219478313491305
diabetes130_discharge,Oracle Trap Exclusion + SHAP,0.6277809554908849,0.15468496050566122,0.038926991807304884,0.909875,0.5027436781650442,0.8684954484709906,0.08017390418558536,0.00662020905923345,0.9988671472708548,0.36538461538461536,0.9107612370101414,-0.5788823390011776,0.736310565632021
diabetes130_discharge,PSEUL-Audit,0.6283579855292447,0.1550020187814862,0.03742436909691446,0.909875,0.5025866265724597,0.8684362250047097,0.08014039209069906,0.0062717770034843206,0.998901476141435,0.36,0.910735524256651,-0.5940763603677133,0.7303314680776825
diabetes130_discharge,PSEUL-Auto (leakage metadata null),0.6225859088957227,0.1517581250131148,0.03714182785688093,0.90978125,0.5026921848591739,0.8684474263638304,0.08030682328183272,0.00662020905923345,0.9987641606591143,0.34545454545454546,0.9107528564720614,-0.6344436828592843,0.7131201541008084
diabetes130_discharge,PSEUL-Select,0.6189999055058963,0.14796278049042985,0.027943512680326354,0.90971875,0.5018725980256713,0.8681189869213962,0.08046934852340555,0.004878048780487805,0.9988671472708548,0.2978723404255319,0.9106187212468313,-0.6685335002177333,0.6982704360806257
diabetes130_discharge,Permutation Importance,0.6257318807556179,0.15459518908513903,0.034375493698195085,0.91003125,0.502044242378572,0.8682780001424402,0.0801406305249306,0.004878048780487805,0.9992104359766564,0.3783783783783784,0.910646685229797,-0.5781740100853343,0.7355647271797449
diabetes130_discharge,SHAP Ranking,0.6277809554908849,0.15468496050566122,0.038926991807304884,0.909875,0.5027436781650442,0.8684954484709906,0.08017390418558536,0.00662020905923345,0.9988671472708548,0.36538461538461536,0.9107612370101414,-0.5788823390011776,0.736310565632021
diabetes130_discharge,Semantic Veto + SHAP,0.6277809554908849,0.15468496050566122,0.038926991807304884,0.909875,0.5027436781650442,0.8684954484709906,0.08017390418558536,0.00662020905923345,0.9988671472708548,0.36538461538461536,0.9107612370101414,-0.5788823390011776,0.736310565632021
